year,disease_name,disease_category,prevalence_rate,incidence_rate
2000,Alzheimer's Disease,Neurological,4.85,0.46
2000,Alzheimer's Disease,Respiratory,12.63,10.55
2000,Alzheimer's Disease,Neurological,4.73,5.64
2000,Alzheimer's Disease,Autoimmune,7.72,8.46
2000,Alzheimer's Disease,Genetic,3.05,14.05
2000,Alzheimer's Disease,Respiratory,11.15,13.83
2000,Alzheimer's Disease,Infectious,13.79,6.98
2000,Alzheimer's Disease,Bacterial,0.99,6.2
2000,Alzheimer's Disease,Infectious,19.43,0.32
2000,Alzheimer's Disease,Viral,6.01,7.86
2000,Alzheimer's Disease,Chronic,19.85,3.94
2000,Alzheimer's Disease,Parasitic,17.81,3.77
2000,Alzheimer's Disease,Respiratory,13.92,4.75
2000,Asthma,Viral,6.05,9.24
2000,Asthma,Infectious,18.66,2.66
2000,Asthma,Bacterial,19.2,7.92
2000,Asthma,Parasitic,12.51,5.3
2000,Asthma,Bacterial,7.05,7.43
2000,Asthma,Cardiovascular,8.66,1.03
2000,Asthma,Bacterial,18.32,9.41
2000,Asthma,Infectious,7.94,0.69
2000,Asthma,Autoimmune,14.86,4.04
2000,Asthma,Respiratory,12.12,4.75
2000,Asthma,Bacterial,1.42,8.88
2000,Asthma,Metabolic,0.82,14.66
2000,Asthma,Chronic,17.01,10.76
2000,Asthma,Autoimmune,4.25,6.72
2000,COVID-19,Metabolic,11.09,8.09
2000,COVID-19,Respiratory,12.24,10.87
2000,COVID-19,Neurological,18.43,12.62
2000,COVID-19,Autoimmune,10.8,6.92
2000,COVID-19,Cardiovascular,17.12,3.98
2000,COVID-19,Bacterial,1.7,6.63
2000,COVID-19,Cardiovascular,18.3,4.7
2000,COVID-19,Metabolic,1.39,2.45
2000,COVID-19,Parasitic,2.72,6.2
2000,COVID-19,Genetic,19.19,2.7
2000,COVID-19,Bacterial,9.34,11.66
2000,COVID-19,Respiratory,13.48,2.83
2000,COVID-19,Respiratory,7.9,5.95
2000,Cancer,Respiratory,3.12,6.14
2000,Cancer,Genetic,2.97,5.81
2000,Cancer,Viral,10.86,11.41
2000,Cancer,Bacterial,0.6,4.31
2000,Cancer,Viral,12.55,1.27
2000,Cancer,Viral,2.05,6.65
2000,Cancer,Metabolic,5.62,14.0
2000,Cancer,Autoimmune,13.5,3.91
2000,Cancer,Respiratory,18.11,7.76
2000,Cholera,Chronic,9.68,10.63
2000,Cholera,Bacterial,9.79,12.57
2000,Cholera,Chronic,9.12,8.8
2000,Cholera,Chronic,11.58,8.36
2000,Cholera,Bacterial,14.27,1.51
2000,Cholera,Chronic,11.91,12.01
2000,Cholera,Genetic,8.98,14.22
2000,Cholera,Parasitic,4.55,14.2
2000,Cholera,Infectious,10.14,3.11
2000,Cholera,Respiratory,4.38,2.59
2000,Cholera,Metabolic,6.17,1.78
2000,Cholera,Parasitic,14.8,8.9
2000,Cholera,Genetic,3.39,13.48
2000,Dengue,Cardiovascular,6.93,9.81
2000,Dengue,Metabolic,12.53,7.42
2000,Dengue,Viral,8.48,3.96
2000,Dengue,Autoimmune,6.05,10.26
2000,Dengue,Bacterial,12.37,3.63
2000,Dengue,Infectious,12.11,5.98
2000,Dengue,Cardiovascular,13.95,1.12
2000,Dengue,Metabolic,16.72,10.71
2000,Dengue,Infectious,19.82,7.19
2000,Diabetes,Cardiovascular,3.07,11.07
2000,Diabetes,Metabolic,9.5,11.71
2000,Diabetes,Genetic,19.47,1.39
2000,Diabetes,Neurological,13.83,8.71
2000,Diabetes,Infectious,3.8,8.39
2000,Diabetes,Viral,13.09,6.14
2000,Diabetes,Neurological,12.19,13.96
2000,Diabetes,Genetic,4.08,10.27
2000,Diabetes,Infectious,0.54,13.6
2000,Diabetes,Neurological,19.49,11.63
2000,Diabetes,Neurological,1.3,11.31
2000,Diabetes,Infectious,15.27,14.95
2000,Diabetes,Cardiovascular,17.51,7.15
2000,Diabetes,Neurological,2.18,10.45
2000,Diabetes,Viral,6.6,7.15
2000,Diabetes,Neurological,19.74,6.05
2000,Diabetes,Parasitic,7.96,4.86
2000,Diabetes,Respiratory,3.31,0.93
2000,Diabetes,Viral,6.68,12.76
2000,Diabetes,Metabolic,16.68,0.79
2000,Ebola,Genetic,3.79,6.32
2000,Ebola,Infectious,15.8,12.03
2000,Ebola,Infectious,11.62,7.42
2000,Ebola,Viral,14.51,14.41
2000,Ebola,Chronic,5.99,1.44
2000,Ebola,Parasitic,12.71,9.21
2000,Ebola,Infectious,4.02,11.63
2000,Ebola,Respiratory,12.86,6.72
2000,HIV/AIDS,Genetic,10.79,8.37
2000,HIV/AIDS,Infectious,17.88,4.46
2000,HIV/AIDS,Infectious,6.66,5.02
2000,HIV/AIDS,Neurological,19.46,11.1
2000,HIV/AIDS,Chronic,7.91,2.31
2000,HIV/AIDS,Viral,14.76,10.79
2000,HIV/AIDS,Genetic,13.86,8.0
2000,HIV/AIDS,Parasitic,5.75,7.05
