year,disease_name,disease_category,prevalence_rate,incidence_rate
2000,Rabies,Metabolic,1.15,8.37
2000,Ebola,Genetic,10.12,12.74
2000,Cholera,Neurological,0.43,11.16
2000,Tuberculosis,Parasitic,5.49,10.34
2000,Asthma,Cardiovascular,5.28,10.9
2000,Asthma,Genetic,19.87,2.13
2000,Zika,Respiratory,12.0,13.27
2000,Polio,Genetic,8.47,9.32
2000,Zika,Genetic,14.91,4.32
2000,Cholera,Neurological,2.63,2.21
2000,Leprosy,Respiratory,5.05,7.45
2000,Ebola,Bacterial,1.09,6.46
2000,COVID-19,Chronic,7.17,11.8
2000,Cholera,Neurological,18.24,13.47
2000,Hepatitis,Viral,18.97,4.93
2000,Cholera,Cardiovascular,8.83,4.56
2000,Zika,Chronic,10.76,10.7
2000,Measles,Parasitic,14.62,1.34
2000,Asthma,Viral,1.47,7.55
2000,Zika,Autoimmune,9.68,6.45
2000,Hepatitis,Genetic,2.14,10.12
2000,Polio,Cardiovascular,17.94,10.53
2000,Dengue,Parasitic,2.19,12.16
2000,Hepatitis,Cardiovascular,14.02,0.47
2000,Leprosy,Autoimmune,18.3,13.94
2000,Diabetes,Infectious,12.93,10.25
2000,Asthma,Genetic,19.93,14.48
2000,Polio,Neurological,9.43,4.19
2000,Tuberculosis,Bacterial,18.49,9.64
2000,Asthma,Neurological,8.64,6.53
2000,Ebola,Parasitic,3.21,11.43
2000,Diabetes,Chronic,1.13,7.84
2000,Polio,Infectious,5.14,6.95
2000,Hypertension,Parasitic,3.42,5.49
2000,Hypertension,Bacterial,4.61,7.01
2000,Measles,Bacterial,11.02,3.39
2000,Alzheimer's Disease,Genetic,19.13,12.98
2000,Hypertension,Infectious,1.1,3.39
2000,Influenza,Respiratory,17.74,3.75
2000,Measles,Viral,2.78,3.15
2000,Hypertension,Viral,11.31,13.75
2000,HIV/AIDS,Respiratory,19.46,10.88
2000,Cancer,Bacterial,9.37,11.52
2000,Malaria,Infectious,1.06,1.93
2000,Rabies,Metabolic,17.48,11.38
2000,Asthma,Infectious,15.6,3.13
2000,Malaria,Metabolic,18.31,9.15
2000,Cholera,Bacterial,7.28,2.47
2000,Polio,Infectious,1.55,3.84
2000,Tuberculosis,Infectious,14.21,9.52
2000,Leprosy,Infectious,5.02,8.58
2000,Alzheimer's Disease,Parasitic,3.12,9.0
2000,Hepatitis,Genetic,6.26,1.6
2000,Zika,Autoimmune,17.81,5.75
2000,COVID-19,Chronic,15.7,8.64
2000,Asthma,Genetic,9.55,4.29
2000,Alzheimer's Disease,Metabolic,11.68,9.89
2000,Cancer,Metabolic,14.01,11.89
2000,Cholera,Parasitic,0.69,6.4
2000,Leprosy,Parasitic,19.31,1.55
2000,Tuberculosis,Metabolic,1.39,1.17
2000,HIV/AIDS,Parasitic,16.16,14.74
2000,Alzheimer's Disease,Viral,15.51,8.74
2000,Ebola,Parasitic,0.25,13.77
2000,Influenza,Infectious,18.24,9.53
2000,Polio,Metabolic,2.85,12.26
2000,Zika,Parasitic,3.12,13.26
2000,Zika,Parasitic,9.25,6.51
