year,disease_name,disease_category,prevalence_rate,incidence_rate
2000,Alzheimer's Disease,Infectious,9.41,12.54
2000,Alzheimer's Disease,Bacterial,9.57,1.75
2000,Alzheimer's Disease,Genetic,3.93,12.58
2000,Alzheimer's Disease,Metabolic,1.65,8.72
2000,Alzheimer's Disease,Cardiovascular,3.63,2.05
2000,Alzheimer's Disease,Viral,7.76,10.0
2000,Alzheimer's Disease,Viral,5.51,9.39
2000,Alzheimer's Disease,Cardiovascular,10.15,12.81
2000,Alzheimer's Disease,Chronic,18.19,5.13
2000,Asthma,Parasitic,12.38,8.23
2000,Asthma,Genetic,5.98,12.29
2000,Asthma,Parasitic,5.16,2.61
2000,Asthma,Chronic,9.99,0.36
2000,Asthma,Infectious,4.69,7.45
2000,Asthma,Autoimmune,8.3,7.46
2000,Asthma,Viral,4.58,4.6
2000,Asthma,Cardiovascular,1.47,3.02
2000,Asthma,Infectious,13.89,0.29
2000,Asthma,Chronic,8.77,5.79
2000,Asthma,Genetic,10.81,12.56
2000,Asthma,Bacterial,3.7,2.7
2000,Asthma,Respiratory,14.28,0.84
2000,Asthma,Viral,6.56,3.12
2000,Asthma,Respiratory,18.21,2.43
2000,Asthma,Autoimmune,15.33,5.07
2000,Asthma,Cardiovascular,9.06,13.06
2000,Asthma,Cardiovascular,5.26,0.19
2000,Asthma,Chronic,15.39,14.22
2000,COVID-19,Genetic,19.88,4.35
2000,COVID-19,Infectious,11.92,11.16
2000,COVID-19,Respiratory,0.67,0.61
2000,COVID-19,Metabolic,6.8,2.66
2000,COVID-19,Autoimmune,5.91,12.05
2000,COVID-19,Neurological,19.05,5.54
2000,COVID-19,Neurological,11.42,7.14
2000,COVID-19,Neurological,15.71,4.91
2000,COVID-19,Cardiovascular,0.23,11.25
2000,COVID-19,Metabolic,9.73,12.57
2000,COVID-19,Viral,11.94,5.87
2000,COVID-19,Chronic,17.84,12.66
2000,COVID-19,Genetic,3.31,7.81
2000,COVID-19,Respiratory,12.83,12.57
2000,COVID-19,Parasitic,16.28,13.93
2000,COVID-19,Chronic,7.92,4.25
2000,COVID-19,Respiratory,9.81,3.32
2000,Cancer,Infectious,7.42,13.89
2000,Cancer,Cardiovascular,11.37,1.82
2000,Cancer,Respiratory,7.62,13.83
2000,Cancer,Genetic,13.75,5.08
2000,Cancer,Respiratory,3.36,0.47
2000,Cancer,Autoimmune,8.79,11.07
2000,Cancer,Metabolic,3.7,13.05
2000,Cancer,Infectious,1.4,8.13
2000,Cancer,Parasitic,11.84,4.82
2000,Cancer,Genetic,16.22,13.83
2000,Cancer,Respiratory,3.82,2.12
2000,Cancer,Genetic,13.45,9.83
2000,Cholera,Neurological,11.48,14.54
2000,Cholera,Viral,15.92,10.41
2000,Cholera,Autoimmune,11.66,9.97
2000,Cholera,Cardiovascular,16.33,0.32
2000,Cholera,Infectious,12.74,13.3
2000,Cholera,Cardiovascular,12.16,9.44
2000,Cholera,Respiratory,12.43,6.52
2000,Cholera,Viral,15.96,14.42
2000,Cholera,Chronic,8.75,5.78
2000,Cholera,Chronic,2.42,2.15
2000,Cholera,Respiratory,7.48,1.13
2000,Cholera,Respiratory,18.69,12.15
2000,Cholera,Viral,16.09,4.35
2000,Cholera,Parasitic,8.93,7.29
2000,Cholera,Parasitic,8.48,4.94
2000,Cholera,Genetic,11.38,7.15
2000,Cholera,Autoimmune,13.39,5.93
2000,Cholera,Chronic,14.54,0.64
2000,Dengue,Autoimmune,6.4,0.43
2000,Dengue,Chronic,5.19,9.14
2000,Dengue,Cardiovascular,2.98,13.0
2000,Dengue,Respiratory,3.77,10.09
2000,Dengue,Neurological,3.96,9.61
2000,Dengue,Parasitic,14.94,14.16
2000,Dengue,Metabolic,19.22,8.85
2000,Dengue,Metabolic,14.95,9.07
2000,Dengue,Respiratory,3.61,12.49
2000,Dengue,Cardiovascular,17.75,8.04
2000,Dengue,Infectious,4.99,14.49
2000,Dengue,Neurological,17.79,2.98
2000,Dengue,Respiratory,18.39,14.22
2000,Dengue,Cardiovascular,18.51,10.9
2000,Dengue,Metabolic,16.87,4.37
2000,Diabetes,Viral,12.67,0.47
2000,Diabetes,Chronic,17.81,9.03
2000,Diabetes,Respiratory,15.33,10.14
2000,Diabetes,Viral,8.8,3.55
2000,Diabetes,Autoimmune,14.54,10.83
2000,Diabetes,Bacterial,4.42,3.96
2000,Diabetes,Cardiovascular,13.02,13.9
2000,Diabetes,Neurological,10.27,14.53
2000,Diabetes,Neurological,3.4,11.39
2000,Diabetes,Metabolic,13.2,3.45
2000,Diabetes,Bacterial,5.9,7.45
2000,Diabetes,Genetic,13.01,14.78
2000,Diabetes,Cardiovascular,16.46,13.3
2000,Diabetes,Metabolic,9.62,8.75
2000,Ebola,Metabolic,16.35,5.13
2000,Ebola,Respiratory,9.64,2.02
2000,Ebola,Cardiovascular,11.09,13.73
2000,Ebola,Genetic,0.42,0.73
2000,Ebola,Viral,13.22,5.46
2000,Ebola,Genetic,16.95,9.87
2000,Ebola,Viral,11.97,7.49
2000,Ebola,Chronic,5.58,9.69
2000,Ebola,Metabolic,10.45,6.53
2000,Ebola,Respiratory,19.54,9.21
2000,HIV/AIDS,Metabolic,14.19,4.31
