year,disease_name,disease_category,prevalence_rate,incidence_rate
2000,Cancer,Cardiovascular,1.08,1.22
2000,Leprosy,Genetic,14.36,8.16
2000,Alzheimer's Disease,Neurological,0.69,10.08
2000,Leprosy,Chronic,14.47,8.31
2000,Parkinson's Disease,Genetic,9.13,8.63
2000,Zika,Parasitic,13.68,4.07
2000,Diabetes,Autoimmune,12.11,1.7
2000,Asthma,Bacterial,14.27,2.88
2000,Asthma,Respiratory,17.05,14.28
2000,Ebola,Autoimmune,16.08,9.76
2000,HIV/AIDS,Infectious,8.56,14.09
2000,HIV/AIDS,Neurological,0.78,7.47
2000,Cholera,Parasitic,9.15,0.24
2000,Tuberculosis,Metabolic,19.73,12.32
2000,Cholera,Viral,6.74,7.78
2000,Leprosy,Autoimmune,0.46,3.29
2000,Asthma,Cardiovascular,13.72,9.6
2000,Zika,Metabolic,19.11,2.51
2000,Rabies,Respiratory,7.24,9.97
2000,Zika,Genetic,17.4,11.48
2000,Diabetes,Genetic,16.43,14.82
2000,Tuberculosis,Infectious,15.55,14.57
2000,HIV/AIDS,Chronic,10.09,7.76
2000,Influenza,Metabolic,11.89,14.79
2000,HIV/AIDS,Respiratory,17.99,3.29
2000,Cancer,Viral,14.55,6.84
2000,Measles,Bacterial,16.51,12.22
2000,Hypertension,Genetic,11.14,12.58
2000,Zika,Respiratory,7.42,14.58
2000,Tuberculosis,Genetic,9.57,13.5
2000,Cholera,Viral,10.68,6.41
2000,Zika,Viral,3.8,7.46
2000,Rabies,Bacterial,18.31,11.94
2000,Measles,Cardiovascular,3.72,8.42
2000,Rabies,Bacterial,1.19,10.43
2000,Polio,Bacterial,1.69,13.37
2000,Leprosy,Infectious,11.7,11.89
2000,Dengue,Respiratory,19.81,3.69
2000,Cholera,Bacterial,12.73,9.61
2000,Rabies,Chronic,2.54,4.49
2000,Zika,Genetic,3.42,13.85
2000,Influenza,Chronic,6.2,4.01
2000,Diabetes,Neurological,9.17,8.61
2000,Cholera,Chronic,17.57,6.82
2000,HIV/AIDS,Viral,1.43,4.9
2000,Malaria,Parasitic,2.09,12.73
2000,Cholera,Respiratory,16.72,5.72
2000,Zika,Chronic,18.19,14.68
2000,Parkinson's Disease,Chronic,10.23,6.89
2000,HIV/AIDS,Genetic,3.67,3.94
2000,Measles,Respiratory,1.98,3.59
2000,Diabetes,Chronic,1.68,4.77
2000,Cholera,Viral,18.91,4.63
2000,Influenza,Infectious,6.69,4.96
2000,Leprosy,Metabolic,15.27,12.37
2000,Cancer,Bacterial,10.53,3.82
2000,Dengue,Infectious,5.01,3.09
2000,Dengue,Autoimmune,14.64,11.89
2000,Leprosy,Cardiovascular,7.09,9.03
2000,Diabetes,Chronic,16.13,2.3
2000,Parkinson's Disease,Autoimmune,5.02,8.87
2000,Diabetes,Respiratory,12.29,1.75
2000,Hepatitis,Viral,7.53,10.94
2000,Malaria,Metabolic,7.93,5.78
2000,Rabies,Infectious,15.46,4.16
2000,Alzheimer's Disease,Neurological,3.76,10.99
2000,Malaria,Metabolic,16.2,8.16
2000,Hepatitis,Cardiovascular,13.4,14.71
2000,Ebola,Respiratory,2.35,9.77
2000,Measles,Chronic,12.92,3.63
2000,Hepatitis,Parasitic,17.29,8.4
2000,Measles,Autoimmune,6.1,5.43
2000,Zika,Genetic,14.7,4.35
2000,Dengue,Viral,9.26,8.58
2000,Asthma,Neurological,14.44,5.57
2000,Tuberculosis,Parasitic,8.19,9.78
2000,Parkinson's Disease,Autoimmune,2.69,14.08
2000,Diabetes,Cardiovascular,16.93,2.66
2000,Hepatitis,Neurological,13.18,11.11
2000,Cholera,Respiratory,1.71,5.64
2000,Hepatitis,Cardiovascular,3.94,7.5
2000,Tuberculosis,Respiratory,16.71,13.01
2000,Diabetes,Bacterial,0.36,7.33
2000,Influenza,Chronic,17.89,3.94
2000,HIV/AIDS,Infectious,11.06,7.26
2000,Tuberculosis,Infectious,17.97,6.39
2000,Cholera,Autoimmune,6.21,8.42
2000,Hypertension,Chronic,4.78,3.88
2000,Dengue,Metabolic,19.96,1.67
2000,Leprosy,Genetic,10.5,2.13
2000,Ebola,Neurological,16.08,6.11
2000,Zika,Viral,16.8,7.47
2000,Measles,Neurological,5.16,0.35
2000,Diabetes,Respiratory,15.64,13.07
2000,Cholera,Respiratory,1.8,1.38
2000,Parkinson's Disease,Infectious,9.04,0.16
2000,Leprosy,Neurological,12.06,6.96
2000,Parkinson's Disease,Parasitic,6.83,12.03
2000,Ebola,Viral,15.57,3.17
2000,HIV/AIDS,Bacterial,1.44,1.69
2000,Asthma,Infectious,12.67,2.35
2000,Cancer,Parasitic,19.04,12.88
2000,Diabetes,Bacterial,3.29,5.67
2000,Cancer,Chronic,4.94,6.34
2000,Polio,Metabolic,10.11,10.46
2000,Dengue,Chronic,19.86,8.09
2000,Measles,Genetic,19.04,6.86
2000,Cholera,Viral,6.23,13.71
2000,Measles,Respiratory,6.63,10.86
2000,Malaria,Metabolic,16.64,13.52
2000,Tuberculosis,Neurological,3.53,1.14
2000,Measles,Genetic,6.64,8.91
2000,Polio,Infectious,12.27,9.74
2000,Leprosy,Genetic,7.34,3.57
2000,Dengue,Infectious,17.22,8.46
2000,Polio,Parasitic,6.93,0.87
2000,Measles,Viral,18.2,8.09
2000,COVID-19,Infectious,12.7,4.2
2000,Hypertension,Neurological,14.38,0.53
2000,Hypertension,Parasitic,4.05,9.91
2000,HIV/AIDS,Neurological,1.55,12.26
2000,HIV/AIDS,Infectious,6.95,3.33
2000,Cancer,Neurological,15.3,6.21
2000,Zika,Cardiovascular,13.72,7.96
2000,Asthma,Metabolic,14.74,8.55
2000,Zika,Parasitic,9.67,8.45
2000,Ebola,Genetic,1.89,11.58
2000,Dengue,Parasitic,7.62,8.12
2000,Malaria,Genetic,17.68,0.24
2000,HIV/AIDS,Infectious,14.78,8.15
2000,Measles,Chronic,2.34,8.99
2000,Cancer,Respiratory,14.91,10.07
2000,Hepatitis,Cardiovascular,4.81,12.24
2000,Cancer,Neurological,10.1,7.21
2000,Alzheimer's Disease,Chronic,13.69,14.96
2000,Alzheimer's Disease,Genetic,6.94,7.74
2000,HIV/AIDS,Metabolic,19.76,13.87
2000,Parkinson's Disease,Parasitic,0.93,5.47
2000,Hypertension,Genetic,1.01,11.6
2000,Diabetes,Metabolic,11.38,12.15
2000,Hepatitis,Metabolic,6.61,11.62
2000,Zika,Neurological,2.94,1.62
2000,Zika,Respiratory,14.97,14.87
2000,Influenza,Chronic,12.12,0.53
2000,Malaria,Infectious,0.28,10.02
2000,Parkinson's Disease,Parasitic,13.84,11.81
2000,HIV/AIDS,Parasitic,6.82,6.27
2000,Zika,Neurological,7.27,11.63
2000,Malaria,Metabolic,13.53,11.91
2000,Ebola,Parasitic,3.94,1.54
2000,Asthma,Parasitic,8.76,3.67
