year,disease_name,disease_category,prevalence_rate,incidence_rate
2000,HIV/AIDS,Chronic,13.13,11.4
2000,Rabies,Metabolic,11.88,2.37
2000,Diabetes,Viral,3.93,0.62
2000,Asthma,Cardiovascular,2.18,13.54
2000,COVID-19,Infectious,8.81,0.55
2000,Dengue,Neurological,2.41,9.57
2000,Parkinson's Disease,Metabolic,4.28,15.0
2000,Leprosy,Parasitic,18.49,8.92
2000,Dengue,Neurological,9.61,4.03
2000,Ebola,Chronic,17.46,3.25
2000,HIV/AIDS,Parasitic,11.26,7.53
2000,COVID-19,Metabolic,13.98,9.48
2000,Zika,Chronic,4.48,5.43
2000,Asthma,Respiratory,9.13,8.81
2000,Parkinson's Disease,Infectious,4.74,8.35
2000,Polio,Metabolic,17.93,7.2
2000,Cholera,Genetic,3.65,10.36
2000,Alzheimer's Disease,Infectious,3.35,2.89
2000,Hepatitis,Chronic,3.31,13.16
2000,Polio,Neurological,19.96,2.72
2000,Zika,Respiratory,3.7,5.62
2000,Tuberculosis,Genetic,3.92,9.23
2000,Measles,Parasitic,0.94,5.71
2000,Diabetes,Genetic,10.7,10.24
2000,Cancer,Genetic,15.36,10.44
2000,Alzheimer's Disease,Bacterial,8.05,3.61
2000,Polio,Chronic,8.91,1.57
2000,COVID-19,Chronic,11.91,8.9
2000,Rabies,Genetic,2.04,0.69
2000,HIV/AIDS,Cardiovascular,3.7,8.58
2000,Parkinson's Disease,Viral,3.76,7.38
2000,Tuberculosis,Bacterial,16.1,11.05
2000,Tuberculosis,Cardiovascular,11.96,2.45
2000,Polio,Respiratory,13.31,12.76
2000,Ebola,Viral,15.41,8.15
2000,Cancer,Viral,3.67,9.81
2000,Cholera,Viral,11.86,6.49
2000,Ebola,Metabolic,12.92,2.39
2000,Dengue,Neurological,0.78,8.97
2000,Rabies,Parasitic,2.92,5.55
2000,HIV/AIDS,Viral,7.6,4.33
2000,Cancer,Bacterial,12.54,2.74
2000,Rabies,Neurological,13.68,5.82
2000,Cholera,Genetic,13.73,6.59
2000,Zika,Bacterial,8.52,9.28
2000,Ebola,Respiratory,16.86,7.47
2000,HIV/AIDS,Genetic,11.38,4.95
2000,Asthma,Infectious,18.61,14.21
2000,Ebola,Metabolic,11.97,4.12
2000,Parkinson's Disease,Metabolic,10.03,13.05
2000,Hypertension,Cardiovascular,13.0,12.41
2000,Dengue,Chronic,7.13,9.24
2000,Polio,Respiratory,18.3,2.43
2000,Influenza,Neurological,13.49,5.1
2000,Ebola,Metabolic,4.25,8.86
2000,Cancer,Metabolic,7.89,14.8
2000,HIV/AIDS,Cardiovascular,19.58,6.23
2000,Cholera,Autoimmune,15.31,4.74
2000,Cancer,Parasitic,16.7,7.18
2000,Polio,Genetic,12.47,13.98
2000,Asthma,Infectious,7.78,9.9
2000,Leprosy,Parasitic,10.64,1.58
2000,HIV/AIDS,Neurological,11.52,8.6
2000,Polio,Cardiovascular,14.98,6.87
2000,Zika,Chronic,19.46,11.92
2000,HIV/AIDS,Autoimmune,0.52,8.97
2000,Asthma,Autoimmune,8.7,6.36
2000,Dengue,Parasitic,13.45,8.49
2000,Polio,Autoimmune,4.75,4.57
2000,Measles,Bacterial,9.66,9.37
2000,Tuberculosis,Chronic,4.25,14.47
2000,Parkinson's Disease,Chronic,16.19,4.19
2000,Rabies,Respiratory,9.99,0.52
2000,Leprosy,Bacterial,18.88,10.43
2000,Parkinson's Disease,Respiratory,4.14,8.87
2000,Dengue,Autoimmune,12.4,4.19
2000,Malaria,Infectious,1.0,14.76
2000,Hypertension,Neurological,3.76,1.48
2000,Cancer,Genetic,5.05,6.71
2000,Rabies,Metabolic,3.8,2.06
2000,Zika,Parasitic,9.95,11.53
2000,Hepatitis,Infectious,5.05,12.76
2000,Ebola,Parasitic,13.83,1.14
2000,HIV/AIDS,Bacterial,15.01,4.8
2000,Tuberculosis,Chronic,13.18,10.58
2000,Measles,Neurological,0.66,11.42
2000,Influenza,Respiratory,6.4,2.29
2000,Leprosy,Infectious,17.88,11.17
2000,Hepatitis,Genetic,9.49,14.67
2000,Hepatitis,Viral,0.79,2.32
2000,Measles,Infectious,7.17,3.91
2000,Parkinson's Disease,Genetic,6.51,3.13
2000,Measles,Autoimmune,5.79,3.43
2000,Malaria,Chronic,19.59,4.85
2000,Zika,Metabolic,13.05,9.41
2000,Malaria,Neurological,2.99,11.97
2000,Tuberculosis,Neurological,15.49,12.97
2000,Polio,Neurological,1.34,3.94
2000,Measles,Parasitic,9.75,2.14
2000,Diabetes,Metabolic,11.34,9.44
2000,Zika,Infectious,14.25,1.88
2000,Measles,Metabolic,4.8,6.25
2000,Hypertension,Respiratory,4.09,2.13
2000,Dengue,Bacterial,7.41,4.37
2000,Rabies,Cardiovascular,10.19,7.66
2000,Ebola,Infectious,13.37,5.46
2000,Malaria,Parasitic,14.21,8.52
2000,HIV/AIDS,Genetic,18.39,9.89
2000,Cholera,Bacterial,5.77,6.35
2000,Ebola,Cardiovascular,17.43,10.69
2000,Ebola,Autoimmune,19.4,8.81
2000,Malaria,Infectious,16.31,12.6
2000,Hepatitis,Respiratory,18.29,3.69
2000,HIV/AIDS,Respiratory,15.81,3.38
2000,Influenza,Viral,9.93,7.96
2000,Parkinson's Disease,Bacterial,9.85,11.87
2000,Alzheimer's Disease,Infectious,5.83,0.13
2000,Malaria,Bacterial,16.45,8.8
2000,Influenza,Autoimmune,13.94,3.21
2000,Zika,Autoimmune,8.96,7.0
2000,Cancer,Cardiovascular,13.49,1.34
2000,Diabetes,Parasitic,18.83,9.68
2000,Hepatitis,Cardiovascular,11.6,4.79
2000,Parkinson's Disease,Genetic,13.11,8.89
2000,Rabies,Parasitic,2.83,2.91
2000,Measles,Viral,3.14,6.61
2000,Ebola,Chronic,4.85,0.44
2000,Hypertension,Infectious,17.63,0.88
2000,Parkinson's Disease,Metabolic,18.1,4.69
2000,Dengue,Infectious,4.21,5.34
2000,Dengue,Viral,2.11,4.75
2000,HIV/AIDS,Genetic,15.61,2.39
2000,HIV/AIDS,Metabolic,14.72,2.05
2000,Diabetes,Infectious,6.1,6.83
2000,COVID-19,Parasitic,6.88,8.06
2000,COVID-19,Chronic,6.06,10.31
2000,Zika,Chronic,1.23,9.42
2000,Hypertension,Metabolic,8.86,2.59
2000,Cholera,Infectious,1.96,12.28
2000,Ebola,Respiratory,19.8,8.8
2000,Cholera,Cardiovascular,4.79,4.0
2000,Rabies,Genetic,1.73,7.15
2000,HIV/AIDS,Respiratory,4.05,0.59
2000,Parkinson's Disease,Neurological,15.32,7.99
2000,Hypertension,Bacterial,10.89,12.27
2000,COVID-19,Chronic,15.54,8.26
2000,Rabies,Chronic,11.46,1.61
2000,Influenza,Cardiovascular,15.89,5.63
2000,Asthma,Metabolic,7.98,13.69
2000,COVID-19,Neurological,7.74,2.48
2000,Diabetes,Respiratory,17.0,3.88
2000,Hypertension,Cardiovascular,19.47,2.01
2000,Dengue,Parasitic,2.95,9.37
2000,Measles,Respiratory,11.83,5.92
2000,Hypertension,Chronic,0.89,14.87
2000,Rabies,Bacterial,4.46,0.85
2000,Asthma,Genetic,17.45,2.25
2000,Measles,Neurological,2.65,9.06
2000,Influenza,Viral,9.61,2.11
2000,HIV/AIDS,Autoimmune,1.18,11.61
2000,Cholera,Bacterial,18.15,1.57
2000,Polio,Autoimmune,1.48,11.14
2000,Rabies,Neurological,2.5,10.17
2000,Malaria,Metabolic,10.31,1.46
2000,Polio,Neurological,17.56,12.47
2000,Leprosy,Parasitic,8.68,14.01
2000,Asthma,Viral,2.87,9.88
2000,Polio,Infectious,17.51,12.46
2000,Cancer,Cardiovascular,13.5,7.8
2000,Leprosy,Infectious,6.08,14.79
2000,Hypertension,Respiratory,9.57,8.39
2000,Parkinson's Disease,Cardiovascular,7.96,3.48
2000,Dengue,Bacterial,10.81,10.23
2000,Polio,Cardiovascular,15.23,2.12
2000,Parkinson's Disease,Metabolic,6.11,12.33
2000,Polio,Neurological,10.17,13.27
2000,Cholera,Respiratory,9.23,1.84
2000,Hepatitis,Parasitic,15.88,4.14
2000,COVID-19,Parasitic,13.06,3.37
2000,Malaria,Neurological,3.64,0.37
2000,Dengue,Cardiovascular,1.23,4.82
2000,Cancer,Cardiovascular,1.51,11.91
2000,Hepatitis,Bacterial,17.77,13.59
2000,Ebola,Infectious,4.49,8.35
2000,Diabetes,Metabolic,11.64,9.25
2000,Zika,Parasitic,6.01,9.7
2000,COVID-19,Infectious,19.53,2.3
2000,Hypertension,Bacterial,14.44,1.38
2000,Influenza,Chronic,13.29,3.07
2000,Polio,Autoimmune,13.27,0.96
2000,Zika,Genetic,18.58,3.05
2000,Influenza,Viral,5.54,10.13
2000,Tuberculosis,Metabolic,14.44,1.85
2000,Parkinson's Disease,Parasitic,3.76,0.55
