year,disease_name,disease_category,prevalence_rate,incidence_rate
2000,Influenza,Genetic,19.17,0.47
2000,Hypertension,Autoimmune,11.07,10.85
2000,Cholera,Cardiovascular,13.83,0.13
2000,Rabies,Chronic,13.46,12.46
2000,Cancer,Cardiovascular,2.91,9.58
2000,Rabies,Chronic,16.38,12.1
2000,Measles,Genetic,18.21,2.34
2000,HIV/AIDS,Chronic,3.93,9.58
2000,Rabies,Genetic,10.38,8.46
2000,Cancer,Infectious,12.62,11.04
2000,Polio,Genetic,7.55,5.97
2000,COVID-19,Neurological,9.31,8.96
2000,Rabies,Viral,11.03,12.36
2000,Polio,Respiratory,17.24,2.04
2000,Hypertension,Autoimmune,16.89,0.91
2000,Rabies,Genetic,6.44,13.35
2000,Diabetes,Autoimmune,9.15,3.48
2000,HIV/AIDS,Metabolic,15.84,11.56
2000,Measles,Viral,17.6,3.04
2000,Asthma,Cardiovascular,5.56,14.61
2000,Alzheimer's Disease,Respiratory,2.64,1.13
2000,Parkinson's Disease,Chronic,15.62,8.19
2000,Leprosy,Metabolic,13.86,10.63
2000,Influenza,Bacterial,12.21,11.74
2000,Asthma,Chronic,12.57,1.87
2000,Cholera,Viral,0.46,9.89
2000,Diabetes,Cardiovascular,18.31,5.72
2000,Rabies,Autoimmune,8.22,13.53
2000,Parkinson's Disease,Cardiovascular,16.55,0.77
2000,Ebola,Infectious,15.69,12.05
2000,Leprosy,Parasitic,2.27,6.14
2000,Hypertension,Parasitic,12.29,1.39
2000,Diabetes,Viral,9.77,2.73
2000,Polio,Bacterial,19.34,4.14
2000,Rabies,Chronic,16.85,1.78
2000,Parkinson's Disease,Respiratory,19.26,0.7
2000,Diabetes,Respiratory,14.83,7.53
2000,Zika,Autoimmune,0.77,8.11
2000,Parkinson's Disease,Autoimmune,7.24,13.26
2000,Cholera,Chronic,11.89,13.15
2000,Ebola,Chronic,19.96,0.38
2000,Tuberculosis,Infectious,0.66,0.18
2000,Rabies,Neurological,0.79,10.11
2000,Leprosy,Bacterial,15.32,2.32
2000,Cancer,Viral,9.87,10.68
2000,Hepatitis,Bacterial,0.84,11.78
2000,Ebola,Respiratory,15.52,9.58
2000,Hepatitis,Autoimmune,11.85,0.61
2000,Cancer,Genetic,0.98,7.16
2000,Hypertension,Neurological,18.84,9.78
2000,COVID-19,Viral,15.08,7.38
2000,Malaria,Bacterial,18.17,12.98
2000,COVID-19,Genetic,8.7,4.95
2000,Cholera,Autoimmune,10.07,13.61
2000,Zika,Neurological,9.66,14.92
2000,Hepatitis,Autoimmune,11.33,14.19
2000,Polio,Parasitic,0.71,12.04
2000,Parkinson's Disease,Bacterial,17.98,12.25
2000,Dengue,Cardiovascular,19.79,3.87
2000,Influenza,Metabolic,4.55,1.22
2000,Diabetes,Respiratory,7.24,4.58
2000,Measles,Autoimmune,5.94,13.85
2000,Zika,Parasitic,6.19,7.63
2000,Malaria,Respiratory,11.71,2.01
2000,Alzheimer's Disease,Chronic,14.13,13.55
2000,Hypertension,Metabolic,6.19,0.64
2000,Leprosy,Viral,14.87,0.42
2000,Polio,Bacterial,14.05,1.5
2000,Cancer,Chronic,19.16,2.48
2000,Rabies,Neurological,18.11,11.15
2000,Polio,Autoimmune,16.91,0.37
2000,HIV/AIDS,Autoimmune,5.5,0.62
2000,Asthma,Infectious,17.21,4.14
2000,Asthma,Respiratory,13.72,2.9
2000,Ebola,Metabolic,9.12,10.22
2000,Ebola,Respiratory,10.79,5.51
2000,Tuberculosis,Parasitic,12.73,12.58
2000,Rabies,Autoimmune,2.97,3.52
2000,Malaria,Respiratory,11.84,1.23
2000,Influenza,Infectious,15.85,12.43
2000,Ebola,Infectious,18.24,5.71
2000,Parkinson's Disease,Bacterial,15.23,2.57
2000,Cancer,Respiratory,17.11,14.11
2000,Tuberculosis,Infectious,1.04,9.53
2000,Hepatitis,Parasitic,6.02,1.97
2000,Dengue,Respiratory,5.92,9.43
