year,disease_name,disease_category,prevalence_rate,incidence_rate
2000,Rabies,Cardiovascular,3.13,4.23
2000,Hepatitis,Metabolic,8.39,0.77
2000,Hepatitis,Cardiovascular,7.43,9.91
2000,Asthma,Bacterial,1.21,1.57
2000,Zika,Parasitic,7.43,8.95
2000,Polio,Neurological,5.51,11.04
2000,Hypertension,Parasitic,18.98,10.09
2000,Zika,Viral,5.59,10.83
2000,Zika,Viral,7.16,0.27
2000,Measles,Infectious,16.32,7.66
2000,Hypertension,Metabolic,0.89,8.15
2000,Parkinson's Disease,Respiratory,10.05,5.27
2000,Dengue,Genetic,10.69,10.1
2000,Hypertension,Parasitic,12.45,2.59
2000,Rabies,Genetic,15.3,13.4
2000,Influenza,Genetic,9.81,8.14
2000,Diabetes,Cardiovascular,0.69,10.1
2000,HIV/AIDS,Genetic,9.9,2.84
2000,Tuberculosis,Chronic,17.06,5.55
2000,Parkinson's Disease,Neurological,12.5,11.96
2000,HIV/AIDS,Respiratory,12.37,12.66
2000,Cancer,Genetic,14.9,11.01
2000,Hypertension,Respiratory,7.79,4.4
2000,Influenza,Viral,2.03,13.96
2000,Zika,Bacterial,13.41,1.0
2000,Leprosy,Autoimmune,15.64,14.09
2000,Hepatitis,Neurological,2.35,2.51
2000,Zika,Cardiovascular,8.25,13.37
2000,Dengue,Autoimmune,5.32,12.09
2000,Influenza,Autoimmune,11.84,13.99
2000,Polio,Chronic,2.92,6.89
2000,Cancer,Metabolic,10.27,14.6
2000,Cancer,Viral,15.2,2.19
2000,Measles,Metabolic,19.61,14.19
2000,Cancer,Parasitic,5.73,7.26
2000,Leprosy,Infectious,12.86,7.45
2000,Malaria,Chronic,4.63,5.62
2000,Alzheimer's Disease,Respiratory,0.4,10.94
2000,Influenza,Infectious,13.4,6.2
2000,Tuberculosis,Genetic,18.52,4.7
2000,Dengue,Genetic,12.86,5.16
2000,Hypertension,Neurological,8.28,13.87
2000,Rabies,Neurological,3.35,1.62
2000,Influenza,Genetic,15.31,12.73
2000,Asthma,Parasitic,18.31,4.52
2000,Rabies,Autoimmune,13.09,14.09
2000,Zika,Chronic,0.29,13.79
2000,Alzheimer's Disease,Viral,9.54,14.22
2000,COVID-19,Metabolic,2.49,2.93
2000,Tuberculosis,Parasitic,0.56,3.33
2000,Ebola,Infectious,0.59,6.19
2000,Measles,Neurological,15.44,7.79
2000,Zika,Metabolic,15.98,8.62
2000,Measles,Viral,5.86,14.42
2000,Malaria,Viral,6.29,8.82
2000,Cholera,Genetic,14.91,1.96
